english,italian,table_1,column_1,table_2,column_2,table_3,column_3,table_4,column_4
Saudi Arabia,Saudi Arabia ,,,,,,,,
Senegal,Senegal ,,,,,,,,
Serbia,Serbia ,,,,,,,,
Seychelles,Isole Seychelles,,,,,,,,
Sierra Leone,Sierra Leone ,,,,,,,,
Singapore,Singapore ,,,,,,,,
Slovakia,Slovacchia,,,,,,,,
Slovenia,Slovenia ,,,,,,,,
Solomon Islands,Isole Salomone,,,,,,,,
Somalia,Somalia ,,,,,,,,
South Africa,Sud Africa,,,,,,,,
Spain,Spagna,,,,,,,,
Sri Lanka,Sri Lanka ,,,,,,,,
Sudan,Sudan ,,,,,,,,
Suriname,Suriname ,,,,,,,,
Swaziland,Swaziland ,,,,,,,,
Sweden,Svezia,,,,,,,,
Switzerland,Svizzera,,,,,,,,
Syria,Siria,,,,,,,,
Taiwan,Taiwan ,,,,,,,,
Tajikistan,Tajikistan ,,,,,,,,
Tanzania,Tanzania ,,,,,,,,
Thailand,Tailandia,,,,,,,,
Togo,Togo ,,,,,,,,
Tonga,Tonga ,,,,,,,,
Trinidad and Tobago,Trinidad e Tobago ,,,,,,,,
Tunisia,Tunisia ,,,,,,,,
Turkey,Turchia,,,,,,,,
Turkmenistan,Turkmenistan ,,,,,,,,
Turks and Caicos Islands,Isole Turks e Caicos ,,,,,,,,
Tuvalu,Tuvalu ,,,,,,,,
Uganda,Uganda ,,,,,,,,
Ukraine,Ucraina,,,,,,,,
United Arab Emirates,Emirati Arabi Uniti,,,,,,,,
United Kingdom,Gran Bretagna,,,,,,,,
United States,Stati Uniti,,,,,,,,
Uruguay,Uruguay ,,,,,,,,
Uzbekistan,Uzbekistan ,,,,,,,,
Vanuatu,Vanuatu ,,,,,,,,
Venezuela,Venezuela ,,,,,,,,
Vietnam,Vietnam ,,,,,,,,
Virgin Islands,Isole Vergini ,,,,,,,,
Wallis and Futuna,Wallis e Futuna ,,,,,,,,
West Bank,Costa Ovest,,,,,,,,
Western Sahara,Sahara Occidentale,,,,,,,,
Yemen,Yemen ,,,,,,,,
Zambia,Zambia ,,,,,,,,
Zimbabwe,Zimbabwe ,,,,,,,,
From improvised dishes to improvised stories,Da piatti improvvisati a storie improvvisate,,,,,,,,
deer meat; okra,carne di cervo; okra,,,,,,,,
hard cheese,formaggio stagionato,,,,,,,,
orange; lemon; lime,arance; limoni; lime,,,,,,,,
pastry,pasta sfoglia,,,,,,,,
pastry; cheese,pasta sfoglia; formaggio,,,,,,,,
pastry; speck,pasta sfoglia; speck,,,,,,,,
pumpkin seed,semi di zucca,,,,,,,,
peeler,pelapatate,,,,,,,,
spiral cutter,affettatore a spirale,,,,,,,,
speck,speck,,,,,,,,
Cook with us in Kalamata,Cucinate con noi a Kalamata,,,,,,,,
Stuffed peppers (Biber dolmasi),Peperoni ripieni,,,,,,,,
bell pepper; rice,peperoni; riso,,,,,,,,
flat pan,pentola piatta,,,,,,,,
star anise,anice stellato,,,,,,,,
beetroot,rapa rossa,,,,,,,,
germany,Germania,,,,,,,,
parsley root,radice bianca,,,,,,,,
Karamellata stin Kalamata,Caramellata di Kalamata,,,,,,,,
beetroot; sweet potato; parsley root,rape rosse; patate dolci; radici bianche,,,,,,,,
turkish tomato paste,estratto di pomodori turco,,,,,,,,
Ring-shaped ravioli Kalamata style,Cappelletti Kalamatagnoli,,,,,,,,
eggs; cheese,uova; formaggio,,,,,,,,
greek pecorino cheese,pecorino greco,,,,,,,,
greek ricotta cheese,ricotta greca,,,,,,,,
cloth,tovaglia,,,,,,,,
Experimental interventions (Begendi),Interventi sperimentali (Begendi),,,,,,,,
cheddar cheese,formaggio cheddar,,,,,,,,
flavour,odori,,,,,,,,
greek graviera cheese,groviera greco,,,,,,,,
greek kefalotiri cheese,formaggio greco kefalotiri,,,,,,,,
gorgonzola cheese,gorgonzola,,,,,,,,
slotted spoon,cucchiaio forato,,,,,,,,
Greek potato dumplings,Gnocchi alla greca,,,,,,,,
potato; cheese,patate; formaggio,,,,,,,,
tin foil,pellicola di alluminio,,,,,,,,
lamb; potato; lemon,agnello; patate; limoni,,,,,,,,
Dimitri's lemon lamb,Agnello al limone alla Dimitri,,,,,,,,
dry rosemary,rosmarino secco,,,,,,,,
peeled; split in halves,pelate; tagliate a meta',,,,,,,,
Aubergines with tomato and feta from Frosos,Melanzane con pomodori e feta di Frosos,,,,,,,,
eggplant; tomato; feta cheese,melanzane; pomodori; formaggio feta,,,,,,,,
sliced lengthwise; 1cm thick,fatto a fette per la lunghezza di 1 cm di spessore,,,,,,,,
poor biscuits,biscotti del povero,,,,,,,,
flour;sugar;wine,farina; zucchero; vino,,,,,,,,
sweet wine,vino da dessert,,,,,,,,
orange cake (portokalopita),torta di arance,,,,,,,,
oven pan,pentola da forno,,,,,,,,
dark chocolate,cioccolato amaro,,,,,,,,
sunflower oil,olio di semi di girasole,,,,,,,,
bar,barretta,,,,,,,,
rice with Teroldego wine,risotto al Teroldego,,,,,,,,
rice; red wine,riso; vino rosso,,,,,,,,
Teroldego red wine,vino rosso Teroldego,,,,,,,,
meat broth,brodo di carne,,,,,,,,
grana trentino cheese,grana trentino,,,,,,,,
sikma,sikma,,,,,,,,
whole wheat flour,farina di grano intero,,,,,,,,
cokelec turkish cheese,formaggio turco cokelec,,,,,,,,
urfa peyniri turkish cheese,formaggio turco urfa,,,,,,,,
pecorino cheese,formaggio pecorino,,,,,,,,
